ESTADO ;CIDADE;Letra;;
Amazonas;Parintins;P;;
Amazonas;Pauini;P;;
Amazonas;Presidente Figueiredo;P;;
Amazonas;Rio Preto da Eva;R;;
Amazonas;Santa Isabel do Rio Negro;S;;
Amazonas;Santo Antônio do Içá;S;;
Amazonas;São Gabriel da Cachoeira;S;;
Amazonas;São Paulo de Olivença;S;;
Amazonas;São Sebastião do Uatumã;S;;
Amazonas;Silves;S;;
Amazonas;Tabatinga;T;;
Amazonas;Tapauá;T;;
Amazonas;Tefé;T;;
Amazonas;Tonantins;T;;
Amazonas;Uarini;U;;
Amazonas;Urucará;U;;
Amazonas;Urucurituba;U;;
Bahia;Abaíra;A;;
Bahia;Abaré;A;;
Bahia;Acajutiba;A;;
Bahia;Adustina;A;;
Bahia;Água Fria;A;;
Bahia;Aiquara;A;;
Bahia;Alagoinhas;A;;
Bahia;Alcobaça;A;;
Bahia;Almadina;A;;
Bahia;Amargosa;A;;
Bahia;Amélia Rodrigues;A;;
Bahia;América Dourada;A;;
Bahia;Anagé;A;;
Bahia;Andaraí;A;;
Bahia;Andorinha;A;;
Bahia;Angical;A;;
Bahia;Anguera;A;;
Bahia;Antas;A;;
Bahia;Antônio Cardoso;A;;
Bahia;Antônio Gonçalves;A;;
Bahia;Aporá;A;;
Bahia;Apuarema;A;;
Bahia;Araçás;A;;
Bahia;Aracatu;A;;
Bahia;Araci;A;;
Bahia;Aramari;A;;
Bahia;Arataca;A;;
Bahia;Aratuípe;A;;
Bahia;Aurelino Leal;A;;
Bahia;Baianópolis;B;;
Bahia;Baixa Grande;B;;
Bahia;Banzaê;B;;
Bahia;Barra;B;;
Bahia;Barra da Estiva;B;;
Bahia;Barra do Choça;B;;
Bahia;Barra do Mendes;B;;
Bahia;Barra do Rocha;B;;
Bahia;Barreiras;B;;
Bahia;Barro Alto;B;;
Bahia;Barro Preto;B;;
Bahia;Barrocas;B;;
Bahia;Belmonte;B;;
Bahia;Belo Campo;B;;
Bahia;Biritinga;B;;
Bahia;Boa Nova;B;;
Bahia;Boa Vista do Tupim;B;;
Bahia;Bom Jesus da Lapa;B;;
Bahia;Bom Jesus da Serra;B;;
Bahia;Boninal;B;;
Bahia;Bonito;B;;
Bahia;Boquira;B;;
Bahia;Botuporã;B;;
Bahia;Brejões;B;;
Bahia;Brejolândia;B;;
Bahia;Brotas de Macaúbas;B;;
Bahia;Brumado;B;;
Bahia;Buerarema;B;;
Bahia;Buritirama;B;;
Bahia;Caatiba;C;;
Bahia;Cabaceiras do Paraguaçu;C;;
Bahia;Cachoeira;C;;
Bahia;Caculé;C;;
Bahia;Caém;C;;
Bahia;Caetanos;C;;
Bahia;Caetité;C;;
Bahia;Cafarnaum;C;;
Bahia;Cairu;C;;
Bahia;Caldeirão Grande;C;;
Bahia;Camacan;C;;
Bahia;Camaçari;C;;
Bahia;Camamu;C;;
Bahia;Campo Alegre de Lourdes;C;;
Bahia;Campo Formoso;C;;
Bahia;Canápolis;C;;
Bahia;Canarana;C;;
Bahia;Canavieiras;C;;
Bahia;Candeal;C;;
Bahia;Candeias;C;;
Bahia;Candiba;C;;
Bahia;Cândido Sales;C;;
Bahia;Cansanção;C;;
Bahia;Canudos;C;;
Bahia;Capela do Alto Alegre;C;;
Bahia;Capim Grosso;C;;
Bahia;Caraíbas;C;;
Bahia;Caravelas;C;;
Bahia;Cardeal da Silva;C;;
Bahia;Carinhanha;C;;
Bahia;Casa Nova;C;;
Bahia;Castro Alves;C;;
Bahia;Catolândia;C;;
Bahia;Catu;C;;
Bahia;Caturama;C;;
Bahia;Central;C;;
Bahia;Chorrochó;C;;
Bahia;Cícero Dantas;C;;
Bahia;Cipó;C;;
Bahia;Coaraci;C;;
Bahia;Cocos;C;;
Bahia;Conceição da Feira;C;;
Bahia;Conceição do Almeida;C;;
Bahia;Conceição do Coité;C;;
Bahia;Conceição do Jacuípe;C;;
Bahia;Conde;C;;
Bahia;Condeúba;C;;
Bahia;Contendas do Sincorá;C;;
Bahia;Coração de Maria;C;;
Bahia;Cordeiros;C;;
Bahia;Coribe;C;;
Bahia;Coronel João Sá;C;;
Bahia;Correntina;C;;
Bahia;Cotegipe;C;;
Bahia;Cravolândia;C;;
Bahia;Crisópolis;C;;
Bahia;Cristópolis;C;;
Bahia;Cruz das Almas;C;;
